Stride Length (m),Step Frequency (steps/min),Stance Phase Duration (s),Swing Phase Duration (s),Double Support Phase Duration (s),Step Length (m),Cadence Variability (%),Hip Joint Angle (°),Knee Joint Angle (°),Ankle Joint Angle (°),Avg. Vertical GRF (N),Avg. A-P GRF (N),Avg. M-L GRF (N),Avg. COP Excursion (mm),Foot Clearance (mm),Gait Symmetry Index (%),Label
1.158489117,1.858789376,0.605081965,0.394580492,0.202315387,1.1,7.121657001,22.35356368,17.5203745,13.79108064,472.9154749,317.8837567,65.42455475,12.15826355,18.7954902,85.21065646,1
1,1.9,0.5,0.5,0.2,0.9,4.1,15.1,21.1,6.3,526.7,286.5,34,12.6,14.3,52.4,0
0.7,2.4,0.6,0.5,0.2,0.7,4.1,16.2,13.3,18.1,461.5,287.4,85.4,7.3,12.9,75,0
1.171460086,1.989305561,0.553694689,0.427534931,0.19362588,1,5.491854004,22.72651645,15.07580725,12.75656928,502.360744,305.0914888,57.28965404,10.91833639,17.95155064,95.97726924,1
1.135259793,1.911193472,0.576288624,0.411297629,0.180219077,0.9,5.903400376,21.57932579,17.11864918,14.48404675,528.4657442,305.4243866,65.87889323,10.55306972,18.95726439,95.79849176,1
1.14367415,2.025255352,0.618731184,0.421817049,0.192952964,1,5.878551735,23.13078992,17.78070261,12.96837844,521.9754163,303.7308607,78.88111573,10.30653569,17.90906901,84.12497418,1
1.047244,1.832674207,0.59360636,0.462091308,0.20220604,0.9,7.034893591,19.8671045,19.59687819,10.27825994,532.5759317,316.3230898,79.50971089,10.26929316,18.78470931,88.73404046,1
1.055633665,1.925560349,0.567436242,0.401437139,0.20005917,0.9,7.088423909,22.6416846,17.99854657,13.05005065,523.2022344,321.2823582,66.46460522,11.78015896,19.74890682,87.78236644,1
1.181470964,1.963518341,0.562929942,0.411934026,0.195408606,1.1,6.331173525,24.29563134,16.28375316,12.07160811,542.5102543,311.8190267,57.61135919,11.93528774,18.59356728,92.05675488,1
1.036793446,1.94641911,0.649150275,0.403103485,0.219847851,0.9,6.22287587,22.51518941,19.66224776,10.52369565,494.7346822,332.4247722,49.13883625,9.354185701,17.93353683,86.4706928,1
1.175518138,1.953301341,0.696108307,0.39698274,0.211659657,1,5.910880789,22.72269463,17.67053486,10.68555402,590.654497,300.8665337,58.96062465,10.63818458,17.40057282,89.26724742,1
1.1,2.3,0.6,0.4,0.2,0.9,8.3,11.7,22,17.7,474.7,348.6,36.5,9.8,23.1,84.6,0
1.278977497,1.831081838,0.655880772,0.386343242,0.204377791,1.2,5.168073074,24.08917822,20.74773904,10.80525148,558.919668,325.169741,56.67029572,11.69208207,19.65875841,89.43172379,1
1.173527315,2.208389145,0.686712631,0.361940434,0.214032494,1,6.992566926,24.53562944,14.43217037,15.0569031,513.8757996,299.3654776,60.9768625,10.07360615,19.91449855,82.91927751,1
1.127988522,1.93334434,0.558055863,0.364074081,0.192421245,1,5.852956778,22.83115749,18.99241058,12.38486876,486.877612,318.0438184,53.03927739,12.33675757,17.73582896,91.60393948,1
1.2,2.4,0.6,0.4,0.1,1.2,5.6,14.2,23.9,7.2,430.9,349.3,41.5,5.3,17.7,67,0
0.957387186,1.844204794,0.564438063,0.432580232,0.200353365,0.9,5.205517488,20.65516728,16.27630302,11.22051309,496.7104809,277.7664097,57.69711872,11.77259653,17.60715708,89.36361869,1
1.131385938,1.929072927,0.612661653,0.389914306,0.179280441,1,6.304655673,22.8793621,19.24563863,14.31597283,542.4098506,283.218991,79.04235274,11.54416021,19.26096449,86.41797475,1
1.040943418,1.848837715,0.583617823,0.427504488,0.210593958,1,5.585683688,19.71089819,15.0288366,11.75785035,485.514373,289.3309917,63.45430027,10.23594181,18.64075576,82.64248042,1
1.045059979,1.990372461,0.613359723,0.400604445,0.186193567,0.9,5.905454359,20.95557526,15.74802682,13.27444726,520.9985235,346.8321525,56.82127466,11.05335588,21.51824378,92.77834178,1
1.132869803,1.994457538,0.673588575,0.413411759,0.194696252,1,5.812360671,20.46421081,15.99304077,9.944741866,572.3716382,293.833266,51.27491551,12.03764656,20.75270417,88.72247723,1
0.995451674,1.91611043,0.612196491,0.434905216,0.208321718,0.8,5.939912549,24.13337396,16.09636462,11.00068516,501.6432315,317.0407016,55.26480323,11.15800053,19.82310125,87.57580771,1
1.284582819,1.742351871,0.554759506,0.426366665,0.201225793,1.2,6.733243005,25.17318992,15.42838371,13.66389546,501.7765512,327.9143887,60.06447165,10.93855242,20.22181552,90.23216307,1
1.348430951,1.885827716,0.60697933,0.42075877,0.191212939,1.2,6.121138522,24.90519937,14.22110306,11.31604058,502.6223662,315.727135,59.61620904,12.00392935,19.44170527,82.25107229,1
1.139099418,1.913741156,0.61984209,0.384783808,0.18729921,1.1,6.370091972,19.90169371,15.37345753,10.60430525,496.9142449,306.9764652,67.36861934,11.75330006,18.50585135,79.66232253,1
1.133373715,1.69444423,0.585059814,0.383969194,0.197713324,1.1,6.39812116,20.1598646,16.62742653,12.74598758,512.2996493,308.8726381,55.42102681,12.84054769,18.67326684,90.66599152,1
1.079797632,2.041628648,0.629815717,0.394239075,0.206031765,1,5.153360409,21.88697178,16.33916431,12.36474857,585.8833225,325.5314758,54.27683978,10.70139927,18.56931731,98.60436581,1
1.050426735,1.857773025,0.581448817,0.407088388,0.19574973,0.9,6.583489956,21.91963834,17.85347903,11.55788965,565.8267394,326.4195707,62.11395571,9.761812885,18.96201978,80.41954649,1
1.007233018,1.703023537,0.648283882,0.388617091,0.177709776,1,5.421682479,23.91746062,14.93324178,11.35541544,582.2054549,300.8848628,82.19698951,11.69765513,18.924182,92.61961226,1
1.258316963,1.844724058,0.587939884,0.409580354,0.184047159,1.2,6.658639854,27.25979156,16.40296665,10.51381511,515.7156274,325.0497001,58.5246345,11.06741037,19.88311324,85.47337634,1
1.182932436,1.812384867,0.560591766,0.411255479,0.19335107,1,6.562626738,23.76406625,15.20196513,14.64910755,491.2546567,294.3779638,51.33164904,10.04037621,18.48687118,82.51889652,1
1.158399725,1.967465753,0.555414212,0.404299068,0.198123573,1,5.745677671,23.80684144,15.36102635,11.49526673,522.0592198,328.0116799,60.90712374,10.88784665,19.86584596,81.12400171,1
0.979786009,1.881338386,0.578589743,0.427879921,0.202660417,0.9,7.400461205,20.99467055,18.45839937,12.37966883,560.8716895,336.7755232,54.94676,11.84419888,19.24183258,86.7801867,1
1.5,1.6,0.6,0.4,0.2,1.3,8,29.1,29.3,12.1,551.3,272.5,81.5,13.8,13.2,52.5,0
1.1,1.9,0.5,0.4,0.2,1,3.7,29,29,8.5,412.9,269.4,64.1,12.2,18.4,93.4,0
1.1,2.4,0.6,0.4,0.1,0.9,7.9,13.5,19.6,6,463.9,312.9,68.6,10.9,13.7,68.3,0
1.106755329,1.852888901,0.627980391,0.412336452,0.214773152,1.1,5.575610556,20.44632905,16.15584709,10.45772439,563.064985,302.3972721,75.9134368,11.48679834,19.80669056,85.46950568,1
0.5,1.9,0.6,0.4,0.2,0.4,8.9,24.7,22.6,13.8,440.8,259.8,34.3,8.9,15,64.9,0
1.026247528,1.9737401,0.544460947,0.410768999,0.220070795,1,6.506879708,22.51000693,20.55116418,10.81553491,569.5353895,280.7117656,69.32221265,10.88813574,19.19047807,81.51420424,1
1.1,2.3,0.6,0.4,0.1,1,5.5,20.1,11,19.6,455.3,301.3,48,5.4,15.6,63.4,0
1.156697426,2.07459579,0.556042692,0.396306666,0.21076614,1.1,7.444620718,23.81140332,21.37830506,14.89955212,573.0881116,278.7233035,64.87878026,11.62114011,19.86459641,85.1692972,1
0.9,1.7,0.5,0.5,0.3,0.9,5,28.7,15.9,13,475.3,298.1,76.8,8.7,24.7,62.4,0
1.138488301,1.985787143,0.59232057,0.347916275,0.199855963,1,6.385609983,21.593277,19.28613676,13.85291887,509.5441975,325.4252915,66.69117067,10.79855878,19.94090198,91.81894123,1
1.245316582,1.891493444,0.637877048,0.438780269,0.198333003,1.1,5.668399399,20.45467021,15.78689758,14.67701547,501.6649985,309.0411725,51.40668597,10.91516084,19.64586026,81.13343041,1
1.4,2.5,0.6,0.4,0.2,1.3,8.8,25.1,24.9,11.6,454.4,309.3,62.2,14,19.2,73.3,0
1.102788247,1.828690037,0.600027799,0.376270364,0.210253542,1,5.135840464,24.20370178,16.19910112,12.49027819,540.9636249,348.5886694,66.64023334,11.57335576,17.76987865,94.76036996,1
1.150448472,1.739056018,0.60839087,0.405465721,0.197921018,1,6.077092912,22.17192869,18.74422026,14.0357019,498.7696896,318.5960978,53.53258461,10.3588658,19.21827637,88.12879696,1
1.090342732,1.972266987,0.558945811,0.397007221,0.194802614,1,5.460099321,21.51679756,16.96685995,10.55810634,516.5372668,299.5512339,54.95636278,10.46733741,17.85575358,86.88282476,1
1.027964002,1.846843587,0.618071826,0.395448408,0.182176257,0.9,5.742464963,21.1215426,19.2158101,11.46335813,464.3051568,298.9081188,63.98222559,10.21690387,20.16797345,81.13292329,1
1.240277282,2.022721812,0.634060895,0.397331492,0.208078101,1,7.099628426,19.93437497,17.03814725,11.73664058,495.3552354,310.0767031,64.49336204,10.91435124,20.59381272,82.63542918,1
0.7,2,0.5,0.5,0.3,0.6,5.3,23.1,19.4,6.4,404.4,289.4,69,14.4,19.4,70,0
1.196840009,1.848059204,0.601268657,0.392094603,0.20496242,1,5.512558099,21.90862382,16.26891618,10.73174326,530.308459,311.9071252,66.42837568,11.65471156,18.27422422,82.65152743,1
1.135402335,1.654687142,0.652280604,0.37929947,0.215029753,1,6.354984573,21.99994267,15.70233962,13.7498999,560.6157952,327.4604093,71.86912168,11.2873779,18.86362143,87.35522835,1
1.02603065,1.96188915,0.617386851,0.426789665,0.198582768,0.9,5.572588593,21.44698351,18.36144507,10.50049241,497.3877994,303.763854,75.99162185,11.20726228,20.52629521,83.02349991,1
1.172269415,1.914416324,0.592289132,0.425504094,0.20104468,1,6.355895895,22.98879193,15.979633,11.47625826,518.9202634,303.2550498,55.7772716,11.76140207,18.89607606,92.81888435,1
1.145391866,2.099678355,0.59101022,0.389698673,0.204693944,1.1,6.166831607,21.57038489,18.20253897,13.5030732,508.3569224,341.2042783,67.5728779,11.20628813,19.70685017,94.94237553,1
1.192807856,2.052276788,0.661359405,0.398397788,0.188003645,1.1,6.798265838,21.2327,17.74634663,11.41850903,540.8476935,304.0513585,67.1114282,10.31389344,19.67351732,80.91974693,1
1.115749382,1.809414115,0.603787515,0.390606664,0.199385237,1.1,5.463559975,22.75080757,17.02578579,11.83608071,492.7751273,310.5600926,58.12834947,11.10089531,18.25406446,82.3289633,1
0.5,2.5,0.6,0.5,0.2,0.5,4,16.4,18.9,18.5,554.4,259.3,42.2,12.9,15.6,76.8,0
1.20783106,1.720357652,0.641631611,0.435725639,0.203756918,1.1,6.231208356,20.8078291,15.35853165,12.56484069,511.0950304,290.6491082,59.17977997,10.40186746,17.82904142,83.79472068,1
0.996022462,1.941145277,0.565685091,0.394887966,0.202391841,0.9,5.523791616,24.47485473,18.77367825,15.19238927,464.0379873,319.3722635,54.63763595,11.39062707,20.87135927,81.5639915,1
1.096429509,1.993204265,0.567485582,0.391764823,0.192279203,0.9,4.969848695,20.15043745,15.59211059,11.70668231,542.2933884,345.3190827,64.08713847,11.03196479,20.00852556,84.02601606,1
1.4,2.3,0.5,0.5,0.2,1.3,4,19.9,16.3,11.9,414.9,303.1,38,11.7,15.9,68.4,0
1.069915909,1.976831901,0.587044388,0.407651951,0.187040219,0.9,5.288640281,19.70663678,17.61635453,13.47130986,446.4858013,323.3812778,57.7960749,10.24574736,20.22122763,86.67748794,1
1.138803714,1.884255526,0.585192776,0.439418275,0.194685146,0.9,5.831766936,21.23801834,18.88148079,12.17645635,516.849983,307.1159511,52.01664916,11.10341269,16.85770151,86.62359723,1
0.8,2,0.6,0.4,0.1,0.7,6.7,16.1,21.5,8.6,524.2,332.6,53.6,5.9,21,68.8,0
1.00992738,1.942032504,0.558649983,0.41064811,0.18937009,0.9,6.263931638,26.17748025,15.6783926,10.90474856,519.6713168,314.5119574,70.60269537,11.72246207,19.46521233,86.42323609,1
1.061637473,1.909731539,0.628373879,0.376972993,0.201760016,0.9,5.658941245,22.08283058,17.94870815,11.48545647,568.3761227,319.5698255,70.09286058,12.01039655,18.96454077,80.67535182,1
1.161192664,1.942334614,0.565119567,0.429595952,0.196502259,1,7.028567214,20.14871597,15.14770791,14.43856987,537.9945039,341.198547,64.80764145,10.67071227,18.11623,84.4244217,1
1.13559343,2.013699282,0.632770452,0.414659168,0.200286273,1.1,5.090471835,28.10940809,18.54525777,10.90855662,519.5759593,308.1905973,59.68823257,12.29429257,18.74810512,87.89618087,1
1.3,1.9,0.5,0.4,0.1,1.2,3.7,12.1,10.5,13.1,558.8,268.9,49,12.2,24.8,93.2,0
1.207758156,2.033527141,0.564420624,0.388554781,0.198368202,1.1,6.513153333,20.98235666,18.22580906,10.67134042,511.2137098,325.5007459,72.19500324,12.02391938,18.66415325,91.28622635,1
1.4,2.4,0.6,0.5,0.2,1.3,6.7,28.7,25.7,18.6,499,260,47.6,7.3,17.9,81,0
1.086132972,1.996148567,0.588613735,0.421220241,0.196586877,0.9,6.375587176,21.31639486,17.8113517,15.16366438,503.2193353,316.3986653,67.14677201,10.57519531,18.83444354,86.32493695,1
1.087893421,1.833680176,0.593906221,0.413498764,0.178701053,0.9,6.644380534,24.843604,16.15798315,15.94163348,515.1511722,312.6809593,54.94301441,10.79622379,19.43317415,87.32277669,1
1.211418943,2.045104004,0.621893964,0.395291124,0.205139417,1.1,6.152209646,21.68269095,17.15084181,11.08048074,569.9413439,297.6064531,66.75535148,10.28145918,19.63114237,83.03786122,1
0.943137062,1.855206218,0.597222409,0.402540971,0.217874806,0.8,5.623585207,20.33946205,18.19762595,11.31989939,573.3599773,327.727419,59.47811541,11.33477208,20.19796373,83.90797946,1
1.1741283,1.990276159,0.616434326,0.420754114,0.196244583,1,6.082052966,19.21887534,15.66763444,11.19471502,558.4561395,309.6949889,69.65744645,10.97068993,20.36606903,76.90856735,1
0.954868506,1.958978944,0.631484292,0.391090298,0.20566312,0.9,7.048610339,19.68424943,15.54606429,10.18439828,521.7630188,306.9476106,57.82132297,11.93659497,22.15126318,92.58790281,1
1.217962332,2.152446595,0.545456435,0.388233617,0.21527337,1.1,6.25094185,22.97421824,18.42923512,11.94747058,535.6502871,326.8523352,58.73356213,10.75717635,17.81681027,88.2963023,1
0.984072857,1.959648839,0.578966839,0.348963825,0.210394828,0.9,6.447813063,23.96832706,20.74557517,14.02749444,568.9508972,322.1305162,63.49216897,10.24675876,21.56136818,88.13266875,1
1.085691994,1.96237651,0.614009278,0.356908496,0.203729399,1,5.401273171,23.06586524,19.10143118,13.96452116,517.2648308,290.3768034,49.38669087,10.52866323,18.81514967,90.18785905,1
1.070920273,2.055206429,0.591284467,0.363751286,0.1863806,1,5.940706207,23.55882619,14.77644098,11.1125598,546.6696684,311.545403,72.64893677,11.36189783,20.40675364,82.44038319,1
1.195954302,1.78255336,0.610805953,0.406028324,0.195727762,1.1,6.884209542,19.47075492,16.74962823,14.0802221,512.3411392,298.534718,77.83779391,10.03795022,18.8541223,92.22830043,1
1.15413087,2.05409281,0.625991339,0.38966373,0.181960272,1.1,5.463561909,19.60742433,17.32399407,12.68276483,475.0125874,292.8086293,78.11565271,9.835711839,17.22778443,89.1279554,1
1.10660445,2.003028133,0.571277352,0.38509293,0.187151341,1,6.563541652,21.38956294,16.92271365,14.53208976,539.0045749,304.6548381,63.94039693,11.91246282,16.25194771,80.80572665,1
1.403818331,1.846327074,0.57694652,0.411235983,0.201430609,1.2,5.340499985,20.80420938,15.92951105,13.21181269,558.6621151,304.6521722,50.06932848,10.93537163,17.05521101,88.07519878,1
1.243040914,1.957058447,0.599308829,0.430124417,0.202818314,1.2,4.629488787,19.29090523,16.69499093,13.02797266,472.1459387,316.2290619,75.50754817,10.80956964,18.91711677,85.54055516,1
1.074111611,1.981659622,0.625620591,0.390061618,0.194130223,1,6.722134384,24.31396352,16.78294574,14.64163291,502.9379749,344.2232134,79.07678748,11.36284827,18.94283647,87.4362912,1
1.3,1.9,0.5,0.4,0.1,1.2,6.7,25.2,24.6,6.8,454.6,322,78.9,12.5,20.8,70,0
1.031599927,1.814988593,0.625444318,0.400276671,0.188928901,1,5.899213081,20.32418609,15.7723845,13.29297785,545.7178957,300.0386078,58.40992954,11.63487501,19.39078164,83.61686062,1
1.167669413,1.746907479,0.620267319,0.412282957,0.224140061,1,6.225058114,25.4187492,17.7505291,13.45006497,533.2954743,312.6627881,64.66952603,11.12010591,17.57387215,86.52620555,1
1.234521033,1.791122241,0.581652885,0.387808921,0.206548223,1.1,6.174349857,23.84292624,20.34669436,14.03743808,564.7207983,307.5900667,78.80875723,10.45630572,18.60009797,85.30600427,1
1.068099906,1.97610948,0.601228221,0.400935812,0.216902701,1,5.488438905,23.30275339,19.02033674,11.10628224,568.7875638,303.9763059,61.86487171,10.58776349,18.07536908,79.32158694,1
1.087683284,1.772137778,0.610201022,0.387121634,0.211183267,1,6.846161644,19.45173365,16.32959406,11.38276103,542.4034196,318.6049256,48.53604394,11.12875357,20.56911732,85.87636633,1
1.064958664,2.009736632,0.578097326,0.39777235,0.20532788,1,5.86443554,22.16422121,18.99577987,9.778825634,510.5411298,323.242446,69.33005285,10.91790803,18.70272781,83.2017552,1
0.9,2.3,0.6,0.4,0.3,0.8,6.6,23.4,19.8,14.1,457,276.4,78.8,8.8,23.2,52.9,0
1.053557505,1.802502351,0.607209694,0.388170734,0.195967566,0.9,5.881541185,23.22115072,17.77849518,12.38398212,500.8760513,302.3574746,78.89547588,10.45045472,21.31596195,86.58600959,1
1.100156763,1.963915484,0.658405246,0.42818246,0.213221985,1,6.141302381,22.50928242,16.63665809,10.24514199,511.35015,314.4666277,70.33291656,12.03901573,21.062257,89.60845067,1
1.087781333,1.81895604,0.576786796,0.393339779,0.1799601,1,6.696915262,24.50849092,17.32468113,13.74441387,542.3561591,304.1406042,62.00077568,11.17303942,17.62614502,85.13858181,1
1.056938877,1.954156821,0.628392856,0.39244576,0.207713118,1,7.339487554,21.5341784,17.01302909,13.20376114,590.4623483,342.0593386,73.15133494,11.44737964,21.44589311,80.51094055,1
1.273427242,1.910330068,0.598563452,0.431397674,0.210535704,1.1,5.503595374,24.63946295,17.23110083,14.6230109,492.4173268,341.5050003,63.53649792,12.4562192,20.10889384,80.6909714,1
1.233824776,1.861590091,0.59618608,0.388879569,0.195562804,1.2,5.499185848,23.53180217,15.04164872,13.55179058,515.0700371,333.1754796,61.57297104,10.0268894,20.6783116,84.09144239,1
1.133520898,1.927097223,0.616709776,0.424717758,0.214106116,1,5.71468952,19.15057453,18.046583,10.23184448,515.5160804,326.9691306,67.57239432,12.48680111,17.59781037,83.25160844,1
1.059251177,1.803084515,0.602969458,0.372969078,0.195845324,0.9,6.571395887,18.86209957,16.7789732,14.46450982,546.6163676,319.3188757,61.7072388,12.16324917,18.11380227,86.31534876,1
1.027664502,1.73444264,0.641137564,0.372634451,0.198853487,0.9,5.667619062,20.43027248,18.78069188,10.47736381,451.9310971,330.0662042,51.96199693,11.27074019,17.55780188,85.78365812,1
1.213956532,1.898184957,0.594042186,0.378424894,0.193338835,1,6.453965316,25.08472601,15.10128299,13.52364609,489.7641286,304.4190406,65.96685286,11.859359,20.11634013,96.43734449,1
1.191271781,1.880754532,0.635261877,0.396821165,0.204294771,1,5.413761682,19.61892276,15.79530931,10.38431409,489.5419951,299.2298788,60.06370565,11.47659444,18.27308981,92.59798819,1
1.170063031,1.880510072,0.605151487,0.398288767,0.193694942,1.1,5.575717802,20.96400941,17.28598952,11.73851648,501.9681152,299.6033561,61.59512123,9.958108295,18.16551488,85.49999054,1
1.3,2.4,0.6,0.5,0.3,1.2,5.1,23.5,21.5,13.9,434.6,285.1,46.5,8.6,23.1,52.2,0
1.2,1.5,0.6,0.4,0.1,1.1,5.6,18.3,11.5,6.7,453.9,314.8,31.2,13.7,14.2,52.7,0
1.268342583,1.733452416,0.587413489,0.423040873,0.201326497,1.1,5.484136906,19.66024753,16.40148647,12.8877872,513.8623675,319.2809915,60.13013263,10.7468828,18.73281676,90.10610785,1
1.201016956,1.888347492,0.575374014,0.414492977,0.182010103,1,5.263251492,23.00239178,18.42157661,11.40804491,493.2212453,292.36165,54.25563999,12.66409896,18.16655044,76.84309191,1
1.268673126,1.924110195,0.57730822,0.425555748,0.193407444,1.1,6.488843609,21.58125703,18.27047551,11.24577601,542.2044865,301.896416,72.30611253,10.94859255,18.27013976,98.59856331,1
0.8,1.5,0.5,0.5,0.3,0.7,9.9,13.7,19,19.1,564.3,307.1,54.4,12.7,23.8,86.1,0
1.196807115,2.064380347,0.592820688,0.409859013,0.196194884,1,6.093180475,22.05180495,17.70782509,12.97556306,531.1473109,315.3841345,74.67205587,11.68890604,19.09122913,95.82388799,1
1.067271634,2.013991068,0.625734634,0.397879412,0.218408945,1,5.296711767,26.88676494,17.25609898,12.64365249,497.6484997,277.5621781,63.81150088,11.87385252,19.29268151,87.99135526,1
1.099202972,1.806855173,0.559967252,0.407133828,0.195614754,1,6.711541426,25.13774757,16.64788641,15.1039415,558.2415192,322.1116061,51.02165267,12.14436916,19.39411258,87.29605485,1
1.3,1.8,0.6,0.5,0.2,1.2,9.9,29.3,14.2,17.7,563.4,308.9,38.9,11.7,17.7,88.3,0
1,1.7,0.6,0.5,0.1,0.9,4.5,22.2,14.7,6.8,456.5,294.6,62.5,9.6,13.9,77.1,0
1.2,1.6,0.6,0.5,0.3,1.2,3.3,14.7,29.2,6.1,525.6,300.5,73.7,5.9,22.7,57,0
1.094921252,1.840134915,0.616030248,0.372906756,0.195243238,1,6.373155296,21.96527709,16.37513897,13.63767551,552.3082896,306.5748118,81.41621369,10.04284372,18.82923264,92.3572102,1
1.228868692,1.810223143,0.618271512,0.400990299,0.197254768,1.1,5.466204838,22.31504768,16.59861593,13.86007286,526.0278723,302.139039,72.46847721,11.90575955,19.84954916,83.03076594,1
0.6,2,0.6,0.4,0.2,0.6,6.5,15.7,24.6,10.2,592.3,340.3,45.2,11.7,16.9,88.1,0
1.059541891,1.799956044,0.663067539,0.391229587,0.214663413,0.9,6.604792205,20.4008629,15.91513195,14.03361108,560.1531201,328.1908612,77.85610026,10.4799431,16.98731287,93.25050812,1
1.107999638,1.869655445,0.609788368,0.409546933,0.201832153,1,6.87394292,24.55842791,16.38628298,12.92324086,562.4758381,338.9697796,74.0020074,12.24568029,18.60210379,90.25100102,1
1.093212158,1.980832458,0.659505123,0.389173557,0.210380664,0.9,7.294964657,22.06801581,16.21126884,10.49214614,537.1324512,304.7560121,70.60388062,11.58174654,18.12991566,83.15208928,1
1.125528217,1.851142129,0.564208875,0.382200574,0.185732558,1.1,5.333742179,21.98308463,17.40915133,14.51370036,536.1752176,332.9273622,60.84841889,11.4282687,20.9321811,86.26701246,1
1.071474789,1.782111695,0.626108968,0.397450878,0.219415205,1,6.657255193,20.64116382,19.19128906,14.39718339,545.3485598,296.6494597,66.23894666,9.918803679,18.13248324,80.14953135,1
1.096653746,1.730804518,0.621062844,0.392423826,0.187144123,1.1,5.797773983,25.05858679,18.15414589,10.44773396,453.4458593,344.9949993,58.95472037,11.35415393,20.8058547,85.47314702,1
1.108155483,1.72594017,0.589866412,0.402467858,0.193149632,1,5.670339081,21.78729539,17.80675776,10.63148205,566.5388991,337.8859871,80.34580885,10.52856314,18.05476983,79.44564359,1
1.079342103,1.825615214,0.64257113,0.395846893,0.21279708,1,5.205950555,20.25913148,15.52074666,14.28996713,508.9281781,319.9085454,55.51664118,11.62837388,17.16380337,80.75721884,1
1.4,2.4,0.6,0.5,0.2,1.3,8.9,27.7,17.6,10.2,551.2,266.3,98,10.9,18.6,78.1,0
1.060775399,1.76296549,0.585633812,0.402922036,0.189003106,1,6.628578957,24.84203439,16.41464514,14.17631666,490.6408928,341.530451,49.18174389,11.45557106,17.52457996,89.61174669,1
0.5,2,0.6,0.4,0.2,0.5,8.1,27.2,28.7,14.2,433.5,264.7,88.2,14.6,17.2,78.2,0
1.144551175,1.959263084,0.604731995,0.409492808,0.20833296,1.1,6.459342725,25.01450237,19.95250019,11.67134285,513.20704,322.6518661,80.08267733,11.4078612,17.74409255,80.45930605,1
1.015400458,1.999780668,0.616798774,0.385509817,0.188405275,0.9,6.26164927,20.55393712,16.78571477,10.36427524,595.4333356,321.1378899,77.61988137,11.81092739,18.41138928,93.3245869,1
1.056351071,1.957055306,0.570689183,0.381963293,0.183130293,0.9,6.680761654,21.45405745,19.6092786,15.03671362,529.1961546,310.9932646,77.56761026,10.62892014,20.74871464,91.72285931,1
0.974877243,1.976661377,0.550031009,0.380735795,0.2040841,0.8,5.098377935,24.74285608,15.94150131,12.11947154,543.0271924,281.0544152,57.062555,10.59190651,19.1726807,90.50667204,1
1.108869239,2.047179492,0.632231788,0.394863809,0.193983576,1.1,6.733041877,19.80339713,16.41816456,10.79391671,540.5475814,339.0339931,73.45910806,10.71360216,18.71774049,83.88555273,1
0.999326349,1.993800904,0.581072131,0.408416433,0.209906193,1,6.632669637,21.19585588,16.93502866,13.45599523,492.0310673,324.009177,66.77787745,9.931116273,20.66382256,90.56045815,1
1.15723521,1.695596684,0.607433207,0.401434484,0.204276938,1,6.487666135,20.46937826,16.27076982,11.10295613,483.1531167,328.9104528,70.77160609,11.16190764,18.48774184,88.07430101,1
